step,full_steps,bp_flops,train_loss_ema,val_loss,wall_s
250,0,14797504512000,2.62573,2.5069,6.28
500,0,29595009024000,2.49276,2.47112,12.42
750,0,44392513536000,2.46202,2.44544,18.56
1000,0,59190018048000,2.35874,2.25159,24.69
1250,0,73987522560000,2.18216,2.11266,30.84
1500,0,88785027072000,2.09931,2.05315,37.0
1750,0,103582531584000,2.0012,1.96203,43.15
2000,0,118380036096000,1.91765,1.91121,49.3
2250,0,133177540608000,1.85135,1.86865,55.46
2500,0,147975045120000,1.80959,1.83713,61.64
2750,0,162772549632000,1.78134,1.81514,67.79
3000,0,177570054144000,1.75784,1.80141,73.96
3250,0,192367558656000,1.74086,1.7797,80.12
3500,0,207165063168000,1.72205,1.7676,86.3
3750,0,221962567680000,1.70621,1.75665,92.46
4000,0,236760072192000,1.69527,1.74452,98.64
4250,0,251557576704000,1.67985,1.73436,104.79
4500,0,266355081216000,1.66874,1.72361,110.95
4750,0,281152585728000,1.66117,1.71982,117.11
5000,0,295950090240000,1.65291,1.71532,123.28
5250,0,310747594752000,1.64451,1.70804,129.46
5500,0,325545099264000,2.20826,2.00905,135.64
5750,0,340342603776000,1.86673,1.76251,141.8
6000,0,355140108288000,1.75299,1.68647,147.96
6250,0,369937612800000,1.70423,1.63404,154.12
6500,0,384735117312000,1.66687,1.60118,160.29
6750,0,399532621824000,1.64319,1.58158,166.45
7000,0,414330126336000,1.62157,1.56501,172.61
7250,0,429127630848000,1.60757,1.55579,178.78
7500,0,443925135360000,1.5964,1.54228,184.95
7750,0,458722639872000,1.58509,1.53701,191.12
8000,0,473520144384000,1.57653,1.52806,197.29
8250,0,488317648896000,1.57595,1.52434,203.45
8500,0,503115153408000,1.56914,1.52267,209.62
8750,0,517912657920000,1.57071,1.51832,215.79
9000,0,532710162432000,1.56578,1.51938,221.95
9250,250,619985240064000,1.56365,1.51043,234.9
9500,500,707260317696000,1.55057,1.50813,247.83
9750,750,794535395328000,1.54828,1.50772,260.77
10000,1000,881810472960000,1.55513,1.50738,273.73
